,nan_fraction
T_4_1,0.0045871559633027525
Engine Speed,0.0045871559633027525
T_Water,0.0045871559633027525
Humidity rel,0.0045871559633027525
Turbine Speed,0.0045871559633027525
q_MI,0.0045871559633027525
q_Pil,0.0045871559633027525
q_PoE,0.0045871559633027525
q_PoL,0.0045871559633027525
phi_MI,0.0045871559633027525
phi_Pil,0.0045871559633027525
phi_PoE,0.0045871559633027525
Delivery Ratio,0.0045871559633027525
Rail Pressure,0.0045871559633027525
Duration_Main,0.0045871559633027525
FMEP,0.0045871559633027525
NOx_EO,0.0045871559633027525
SOC,0.0045871559633027525
MFB50,0.0045871559633027525
PFP,0.0045871559633027525
P_SOI,0.0045871559633027525
EGR_Rate,0.0045871559633027525
EGR_Temperature,0.0045871559633027525
ECU_VTG_Pos,0.0045871559633027525
ECU_EGR_Pos,0.0045871559633027525
T_OIL,0.0045871559633027525
ECU_Exh_Flap_Pos,0.0045871559633027525
T_41,0.0045871559633027525
p_11,0.0045871559633027525
MF_IA,0.0045871559633027525
MF_FUEL,0.0045871559633027525
Torque,0.0045871559633027525
BMEP,0.0045871559633027525
BSFC,0.0045871559633027525
IMEP,0.0045871559633027525
IMEPH,0.0045871559633027525
IMEPL,0.0045871559633027525
LAV,0.0045871559633027525
p_0,0.0045871559633027525
p_21,0.0045871559633027525
T_31,0.0045871559633027525
p_2_1,0.0045871559633027525
P_IM,0.0045871559633027525
p_31,0.0045871559633027525
p_41,0.0045871559633027525
p_4_1,0.0045871559633027525
T_0,0.0045871559633027525
T_11,0.0045871559633027525
T_21,0.0045871559633027525
T_2_1,0.0045871559633027525
T_IM,0.0045871559633027525
Log Point,0.0
